にっとのクリニック,東京都目黒区原町2-1-24,03-5704-4092,#N/A,8:30,11:30,15:00,17:30,8:30,11:30,15:00,17:30,8:30,11:30,15:00,17:30,8:30,11:30,15:00,17:30,8:30,11:30,15:00,17:30,8:30,11:30,,,,,,,x
三鷹さくらクリニック,東京都三鷹市牟礼,0422-43-6410,#N/A,,,15:30,16:30,,,15:30,16:30,,,,,,,15:30,16:30,,,,,,,,,,,,,x
広尾ガーデンヒルズクリニック,東京都渋谷区広尾4-1-12,web予約,#N/A,10:00,13:00,15:00,19:00,9:00,13:00,15:00,18:00,9:00,13:00,15:00,18:00,9:00,13:00,,,,,16:00,21:00,9:00,13:00,,,,,,,英語
医療法人財団 厚仁会 藤田記念耳鼻咽喉科,東京都大田区田園調布2-34-22,03-3721-2832,#N/A,12:15,12:45,,,,,,,,,,,12:15,12:45,,,12:15,12:45,,,12:15,12:45,,,,,,,なし
医療法人社団大塚耳鼻咽喉科医院,東京都清瀬市松山1-40-21-1F,042-492-0287,#N/A,9:00,12:00,15:00,18:30,9:00,12:00,15:00,18:30,9:00,12:00,15:00,18:30,,,14:00,18:30,9:00,12:00,15:00,18:30,,,21:00,14:00,,,,,x
医療法人社団かえでこどもクリニック,東京都三鷹市井口3-6-16アップルかえで通りビル１階,web予約,#N/A,9:00,12:00,16:00,18:00,9:00,12:00,16:00,18:00,,,,,9:00,12:00,16:00,18:00,9:00,12:00,16:00,18:00,9:00,12:00,,,,,,,英語
神田すこやかクリニック,東京都千代田区神田須田町1-30-1パークホームズ千代田淡路町1階,web予約,#N/A,,,12:00,17:00,,,12:00,17:00,,,12:00,17:00,,,12:00,17:00,11:30,12:00,12:00,17:00,,,,,,,,,英語
みぞべこどもクリニック,東京都日野市高幡５０７ー４リーデンススクエア高幡不動１１６,042-592-2311,#N/A,9:30,12:30,15:30,17:00,9:30,12:30,15:30,17:00,,,,,9:30,12:30,15:30,17:00,9:30,12:30,15:30,17:00,9:30,13:00,,,,,,,x
うちだ内科クリニック,東京都練馬区富士見台２－４－１５,03-3970-2433,#N/A,,,15:30,17:30,9:00,11:00,15:30,17:30,9:00,11:00,,,,,,,9:00,11:00,15:30,17:30,9:00,11:00,,,,,,,x
医療法人社団ＤＥＮ　みいクリニック代々木,東京都渋谷区千駄ヶ谷5-21-14,web予約,#N/A,9:30,13:00,14:00,17:30,9:30,13:00,14:00,17:30,9:30,13:00,14:00,17:30,9:30,13:00,14:00,17:30,9:30,13:00,14:00,17:30,,,,,,,,,英語。その他、ポケトークにて対応可能。
医療法人社団　友歩会　いしいこどもクリニック,東京都調布市調布ヶ丘３－１９－１２,０４２－４８３－０１０１,#N/A,9:00,12:00,15:00,18:00,9:00,12:00,15:00,18:00,9:00,12:00,15:00,18:00,,,,,9:00,12:00,15:00,18:00,9:00,13:00,,,,,,,x
豊川小児科内科医院,東京都町田市つくし野２-１８-１８,042-795-4465,小児科、内科,11:00,12:00,17:00,18:00,11:00,12:00,17:00,18:00,11:00,12:00,17:00,18:00,10:00,12:00,,,11:00,12:00,17:00,18:00,,,,,,,,,x
文京クリニック,東京都文京区千駄木１－２３－３，,03-3823-6614,#N/A,12:00,14:00,18:00,19:00,12:00,14:00,18:00,19:00,12:00,14:00,18:00,19:00,,,,,12:00,14:00,18:00,19:00,,,12:00,15:00,,,,,x
平和国際医院,東京都豊島区池袋2-48-8恩和ビル2階,03-5904-8608,#N/A,11:00,13:00,14:00,18:00,11:00,13:00,14:00,18:00,,,,,,,,,11:00,13:00,14:00,18:00,,,13:00,17:00,,,,,中国語、英語、ドイツ語
さとみクリニック,東京都府中市是政2-3-4フルブルーム103,042-340-8688,#N/A,10:30,11:00,16:00,17:00,,,16:00,17:00,10:30,11:00,16:00,17:00,10:30,11:00,,,,,16:00,17:00,10:30,11:00,,,,,,,英語
渡邉医院,東京都大田区西糀谷2-24-4,03-3741-2531,#N/A,9:00,12:00,16:00,19:00,9:00,12:00,16:00,19:00,9:00,12:00,16:00,19:00,,,,,9:00,12:00,16:00,19:00,9:00,12:00,,,,,,,x
一般社団法人　医釣会　月島きずなクリニック,東京都中央区月島２－７－９,03-5859-0157,#N/A,9:00,13:30,15:00,17:00,9:00,13:30,15:00,17:00,9:00,13:30,15:00,17:00,9:00,13:30,15:00,18:30,9:00,13:30,15:00,18:30,9:00,13:30,14:30,17:00,,,,,x
松岡医院,東京都狛江市中和泉5-10-18,03-3480-4122,#N/A,9:00,12:00,16:00,17:00,9:00,12:00,16:00,17:00,,,,,9:00,12:00,16:00,17:00,9:00,12:00,16:00,17:00,9:00,11:00,,,,,,,x
岡部こどもクリニック,東京都小平市小川町1-512-12,042-349-1152,#N/A,8:30,9:30,15:00,16:00,8:30,9:30,15:00,16:00,8:30,9:30,15:00,16:00,8:30,9:30,,,8:30,9:30,15:00,16:00,8:30,10:30,,,,,,,x
医療法人社団 松原内科医院,東京都羽村市羽東1-16-3,042-554-2427,#N/A,9:00,12:00,15:15,18:30,9:00,12:00,16:00,18:30,9:00,12:00,16:00,18:30,9:00,12:00,15:15,18:30,9:00,12:00,15:15,18:30,9:00,12:00,,,,,,,x
くれもとクリニック,東京都江戸川区北葛西4-1-45カーサ控井102号,03-5658-8777,#N/A,11:30,12:30,,,11:30,12:30,,,11:30,12:30,,,,,,,11:30,12:30,,,,,,,,,,,x
医療法人社団 静朗会 千葉医院,東京都文京区千石1-6-16ライズヒル千石101,03-3941-1340,#N/A,10:00,12:00,,,10:00,12:00,,,,,,,10:00,12:00,,,10:00,12:00,,,11:00,12:00,,,,,,,なし
医療法人社団救人会 東青梅診療所,東京都青梅市東青梅1-7-5,0428-25-8651,#N/A,11:15,12:00,14:00,18:00,,,14:00,18:00,,,,,11:15,12:00,14:30,15:00,11:15,12:00,14:30,15:00,11:15,12:00,,,,,,,なし 日本語のみ
医療法人社団樹の実会　あきのこどもクリニック,東京都日野市栄町1-5-11-1階,042-581-2525,#N/A,9:00,12:00,14:30,17:30,,,14:30,17:00,9:00,12:00,14:30,17:00,,,,,9:00,12:00,,,9:00,12:00,,,,,,,x
医療法人社団健優会　三宅小児科,東京都世田谷区上北沢4-21-13,web予約,#N/A,8:00,12:00,13:30,17:30,8:00,12:00,13:30,17:30,8:00,12:00,13:30,17:30,8:00,12:00,,,8:00,12:00,13:30,17:30,8:00,12:00,,,,,,,x
湯川リウマチ内科クリニック,東京都武蔵野市境南町３－１４－６,0422-31-1155,#N/A,12:30,13:00,13:00,13:30,12:30,13:00,13:00,13:30,,,,,12:30,13:00,13:00,13:30,12:30,13:00,13:00,13:30,,,,,,,,,x
牛込台さこむら内科,東京都新宿区中町23,03-3269-1783,#N/A,9:00,12:00,15:00,17:00,9:00,12:00,15:00,17:00,9:00,12:00,15:00,15:00,9:00,12:00,15:00,17:00,9:00,12:00,15:00,17:00,9:00,12:00,,,,,,,英語
田園調布呼吸器・内科クリニック,東京都大田区田園調布1-1-17,03-6662-6711,#N/A,9:00,12:00,15:00,18:00,9:00,12:00,15:00,18:00,9:00,12:00,15:00,18:00,9:00,12:00,,,9:00,12:00,15:00,18:00,9:00,12:00,,,,,,,英語
池袋東口まめクリニック,東京都豊島区東池袋１－１２ー10,web予約,#N/A,10:00,14:00,16:00,22:00,10:00,14:00,16:00,22:00,10:00,14:00,16:00,22:00,10:00,14:00,16:00,22:00,10:00,14:00,16:00,22:00,,,13:00,18:00,10:00,12:30,13:30,18:00,x
千代田加賀クリニック,東京都千代田区神田神保町1-35-14,03-3291-9951,#N/A,9:30,12:30,16:00,17:30,9:30,12:30,16:00,17:30,9:30,12:30,16:00,17:30,9:30,12:30,16:00,17:30,9:30,12:30,16:00,17:30,9:30,12:30,,,,,,,x
メディカル新中野,東京都中野区中央4-5-2,03-3383-3454,内科;小児科,9:00,11:00,,,,,,,9:00,11:00,16:00,18:00,9:00,11:00,16:00,18:00,9:00,11:00,16:00,18:00,9:00,12:00,,,9:00,12:00,,,対応できません
医療法人社団 等々力内科クリニック,東京都世田谷区等々力8-24-14,03-3702-5425,#N/A,10:00,12:00,15:00,18:00,10:00,12:00,15:00,18:00,10:00,12:00,15:00,18:00,10:00,12:00,,,10:00,12:00,15:00,18:00,10:00,12:00,,,,,,,x
医療法人社団天裕会のぞみクリニック築地,東京都中央区築地7-11-5,03-6260-6008,#N/A,,,14:30,16:30,,,14:30,16:30,,,,,,,14:30,16:30,,,14:30,16:30,11:00,12:00,0:00,13:30,,,,,中国
