都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
131148,1,東京都,中野区,医療法人社団　健朗会　三五医院,イリョウホウジンシャダン　ケンロウカイ　サンゴイイン,無床診療所,東京都中野区南台2-6-8,,35.681717,139.671204,03-3381-0313,,,,,,,,,,,内科;神経内科,0,,
131148,2,東京都,中野区,白石医院,シライシイイン,有床診療所,東京都中野区南台2-18-10,,35.683224,139.671509,03-3384-5255,,,,,,,,,,,内科;皮膚科;小児科;精神科;外科;泌尿器科;整形外科;産婦人科,2,,
131148,3,東京都,中野区,医療法人社団　三峰会　宮下医院, イリョウホウジンシャダン　ミツミネカイ　ミヤシタイイン,無床診療所,東京都中野区南台2-24-12,,35.683605,139.671494,03-5385-3050,,,,,,,,,,,内科;小児科;外科,0,,
131148,4,東京都,中野区,医療法人社団　二人会　クリニカル南台,イリョウホウジンシャダン　フタリカイ　クリニカルミナミダイ,無床診療所,東京都中野区南台2-45-10,,35.685516,139.671539,03-3381-8681,,,,,,,,,,,皮膚科;小児科;外科;リハビリ科;麻酔科;呼吸器内科;循環器内科;消化器内科（胃腸内科）;糖尿病内科（代謝内科）;ペインクリニック,0,,
131148,5,東京都,中野区,整形外科峰岸クリニック,セイケイゲカミネギシクリニック,無床診療所,東京都中野区南台2-49-10,,35.686111,139.670364,03-3384-5947,,,,,,,,,,,整形外科;リハビリ科;麻酔科,0,,
131148,6,東京都,中野区,白川クリニック,シラカワクリニック,無床診療所,東京都中野区南台2-51-8,グランルージュ中野南台1階,35.685276,139.669266,03-6382-5011,,,,,,,,,,,内科;内視鏡内科;消化器科（胃腸内科）;外科;肛門外科,0,,
131148,7,東京都,中野区,医療法人社団　育寿会　高橋医院,イリョウホウジンシャダン　イクジュカイ　タカハシイイン,無床診療所,東京都中野区南台3-3-3,,35.684059,139.668777,03-3381-3238,,,,,,,,,,,内科;皮膚科;小児科;外科,0,,
131148,8,東京都,中野区,皮膚科こかじクリニック,ヒフカコカジクリニック,無床診療所,東京都中野区南台3-6-17,クリスタルコート88 1F,35.686096,139.668228,03-3383-5033,,,,,,,,,,,皮膚科;アレルギー科,0,,
131148,9,東京都,中野区,たまつ小児科医院,タマツショウニカイイン,無床診療所,東京都中野区南台3-15-5,岡山ビル1階,35.683754,139.667191,03-3380-0325,,,,,,,,,,,小児科,0,,
131148,10,東京都,中野区,医療法人社団　多田町診療所,イリョウホウジンシャダン　タダマチシンリョウジョ,無床診療所,東京都中野区南台3-33-5,,35.683548,139.666031,03-3381-3191,,,,,,,,,,,内科;呼吸器科;アレルギー科;小児科,0,,
131148,11,東京都,中野区,南台寺尾クリニック　内科・小児科,ミナミダイテラオクリニック　ナイカ・ショウニカ,無床診療所,東京都中野区南台3-37-27,シルクれじでんす1階,35.683651,139.665436,03-3381-7755,,,,,,,,,,,内科;小児科;循環器内科,0,,
131148,12,東京都,中野区,山田クリニック,ヤマダクリニック,無床診療所,東京都中野区南台5-32-2,,35.683525,139.659729,03-3381-5213,,,,,,,,,,,内科;消化器内科（胃腸内科）;外科,0,,
